;submission_id;user_id;location_name;submission_timestamp;questions_134999_where_are_you_eating_at_the_moment;questions_135005_who_are_you_with;questions_134999_where_are_you_eating_at_the_moment;questions_135000_which_of_the_following_best_describes_where_you_got_your_food_from_today;questions_135004_what_else_if_anything_are_you_doing_while_eating_your_food_for_example_are_you_also_watching_tv_checking_social_media_cooking_etc_coded;questions_135022_who_prepared_the_food;level2dish_coded;questions_135019_what_are_the_main_reasons_that_you_chose_this_food_right_now_if_you_are_having_more_than_one_item_please_write_about_the_main_item_you_are_having_please_be_as_detailed_as_you_can_coded;questions_135020_what_other_food_if_any_did_you_consider_having_instead_coded;questions_223649_149206_210007_finally_which_best_describes_the_food_you_are_having_today
0;1;389214045;South Africa;31/01/2019 15:11;At school / work;"[""Alone""]";At school / work;I had it at home / brought it from home;"[""Working / studying""]";I prepared it myself from scratch;"[""Pork""]";"[""I like the taste""]";"[""Nothing""]";Lunch
1;4;2647339060;South Africa;24/01/2019 18:30;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV"", ""Browsing social media""]";Someone else prepared it;"[""Other potatoes/ sweet potatoes"", ""Bread/ roll/ baguette""]";"[""It's a healthy choice"", ""Cheap""]";"[""Meat""]";Dinner
2;6;1056649824;South Africa;22/08/2019 15:13;On the go / outdoors;"[""My spouse/partner"", ""My children""]";On the go / outdoors;Supermarket / Hypermarket / Grocery Store ;"[""Spending time with family""]";It was premade / ready to eat;"[""Biscuits""]";"[""Quick"", ""Kids/ family like it""]";"[""Nothing""]";Snack
3;7;2771744552;South Africa;24/05/2019 16:21;At my home;"[""Alone""]";At my home;;"[""Talking to someone"", ""Spending time with friends""]";Someone else prepared it;"[""Cake""]";"[""I like the taste""]";"[""Nothing""]";Snack
4;8;3427770026;South Africa;13/02/2019 04:02;At my home;"[""Alone""]";At my home;I had it at home / brought it from home;"[""Watching TV""]";I prepared it myself from scratch;"[""Bread/ roll/ baguette"", ""Instant noodles""]";"[""I like the taste""]";"[""Nothing""]";Snack
5;9;1136589453;South Africa;28/02/2019 04:02;At my home;"[""My children""]";At my home;I had it at home / brought it from home;"[""Watching TV"", ""Browsing social media""]";I prepared it myself from scratch;"[""Egg-based dish"", ""Toast""]";"[""It's a healthy choice"", ""I was hungry""]";"[""Cereals / porridge""]";Breakfast
6;10;504021840;South Africa;26/03/2019 20:21;On the go / outdoors;"[""Alone""]";On the go / outdoors;Supermarket / Hypermarket / Grocery Store ;"[""Travelling""]";It was premade / ready to eat;"[""Savoury pie""]";"[""Quick"", ""Easy to prepare""]";"[""Sandwich / bagel / wrap"", ""Coffee""]";Snack
7;16;1433014420;South Africa;27/04/2019 07:00;At my home;"[""My spouse/partner""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV"", ""Browsing social media""]";It was premade / ready to eat;"[""Sweet crepes/ pancakes"", ""Soft cheese/ cheese spread"", ""Savoury biscuits"", ""Biscuits"", ""Fried potatoes/ sweet potatoes""]";"[""I was hungry"", ""It's a healthy choice""]";"[""Nothing""]";Breakfast
8;20;5231207952;South Africa;04/06/2019 02:34;At school / work;"[""Alone""]";At school / work;;"[""Nothing""]";Someone else prepared it;"[""Tropical and exotic fruit""]";"[""I like the taste""]";"[""Confectionery""]";Snack
9;23;263860770;South Africa;05/02/2019 15:23;At my home;"[""Alone""]";At my home;Supermarket / Hypermarket / Grocery Store ;"[""Watching TV""]";It was premade / ready to eat;"[""Chocolate bar""]";"[""I like the taste""]";"[""Nothing""]";Treat
